"gene_symbol","gene_rank","gene_desc","hos_log2FC","hos_padj","os17_log2FC","os17_padj"
"MYO1E",1109,"myosin IE",0.511018689,9.63e-30,0.687996402,7.11e-39
"SMO",1111,"smoothened, frizzled class receptor",-1.402659741,7.93e-30,-1.289891172,1.5e-38
"AP2S1",1113,"adaptor related protein complex 2 subunit sigma 1",1.72256166,5.1e-113,1.227678009,1.91e-12
"IRAK2",1126,"interleukin 1 receptor associated kinase 2",3.900994468,8.08e-47,2.474263745,9.37e-22
"HSPB1",1132,"heat shock protein family B (small) member 1",-0.475703843,2.57e-28,-1.303728232,3.98e-39
"SELENOS",1139,"selenoprotein S",0.572628514,1.56e-24,1.718626472,1.73e-46
"PTK7",1140,"protein tyrosine kinase 7 (inactive)",-0.738135359,1.45e-45,-1.705440341,9.37e-22
"FTO",1142,"FTO alpha-ketoglutarate dependent dioxygenase",-0.742047464,2.91e-42,-0.66488524,2.02e-23
"EPHB4",1145,"EPH receptor B4",-1.231826158,1.16e-63,-0.591726652,1.71e-16
"SDC2",1146,"syndecan 2",-1.475711916,1.41e-82,-1.310191583,7.24e-14
"PRC1",1158,"protein regulator of cytokinesis 1",-0.416043837,6.16e-22,-1.525462428,7.23e-55
"AMIGO2",1161,"adhesion molecule with Ig like domain 2",0.833804866,1.97e-16,2.261729385,3.72e-137
"NFX1",1163,"nuclear transcription factor, X-box binding 1",0.947919681,2.65e-64,0.593092114,4.82e-16
"ENG",1164,"endoglin",0.414502706,6.62e-20,1.504889422,1.85e-66
"ABCC9",1171,"ATP binding cassette subfamily C member 9",1.507456823,4.66e-15,3.383619459,0
"CDC42SE1",1175,"CDC42 small effector 1",0.385720639,1.14e-19,1.051045148,6.18e-67
"PHLDB2",1179,"pleckstrin homology like domain family B member 2",0.536070996,1.07e-30,1.193717586,5.87e-32
"STIM1",1180,"stromal interaction molecule 1",0.567851125,2.71e-20,1.383341413,1.67e-60
"ARL14EP",1186,"ADP ribosylation factor like GTPase 14 effector protein",0.720052081,6.49e-46,1.020832249,2.37e-20
"DIS3L",1189,"DIS3 like exosome 3'-5' exoribonuclease",0.958385537,1.11e-96,0.823512642,4.27e-12
"DCUN1D3",1190,"defective in cullin neddylation 1 domain containing 3",1.039865842,1.34e-24,1.539931601,8.21e-42
"SCHIP1",1192,"schwannomin interacting protein 1",0.814374053,3.27e-35,0.798354402,1.3e-26
"MARK3",1195,"microtubule affinity regulating kinase 3",0.50354961,1.25e-29,0.70607131,8.85e-33
"EMP2",1207,"epithelial membrane protein 2",-1.496413544,9.36e-70,-0.835765093,3.49e-14
"BAIAP2L2",1208,"BAR/IMD domain containing adaptor protein 2 like 2",1.064767509,7.98e-17,5.505964182,3.27e-87
"LANCL1",1209,"LanC like glutathione S-transferase 1",-1.072049438,5.78e-82,-0.75899305,7.86e-13
"CCNY",1211,"cyclin Y",-0.342893848,5.02e-18,-1.148802934,1.78e-72
"RTL8C",1213,"retrotransposon Gag like 8C",-1.320275128,1.46e-169,-0.643820345,2.54e-09
"CAVIN2",1219,"caveolae associated protein 2",-1.232472483,1.13e-17,-2.296271754,3.28e-74
"ADAM17",1221,"ADAM metallopeptidase domain 17",0.49375137,1e-17,1.144501902,2.12e-73
"SLC44A1",1224,"solute carrier family 44 member 1",-0.902126977,8.55e-80,-0.560399888,8.22e-13
"STEAP3",1226,"STEAP3 metalloreductase",-0.732636402,1.16e-21,-1.225865856,3.32e-47
"EMP1",1229,"epithelial membrane protein 1",1.156575819,2.05e-16,4.447374593,1.81e-90
"KSR1",1231,"kinase suppressor of ras 1",-0.29285802,6.2e-24,-1.822330768,4.4e-40
"SLC27A4",1236,"solute carrier family 27 member 4",0.931418649,3.34e-33,1.062119849,1.04e-26
"MFSD2A",1238,"MFSD2 lysolipid transporter A, lysophospholipid",2.679559963,2.31e-67,0.906640737,2.99e-14
"CAPN2",1240,"calpain 2",-0.71591955,3.26e-135,-0.343303721,8.82e-10
"SLC4A7",1243,"solute carrier family 4 member 7",1.348516891,7.76e-86,0.668568496,4.23e-12
"IGF2R",1245,"insulin like growth factor 2 receptor",0.73094581,1.54e-34,0.934216864,2.46e-25
"IRAK1",1250,"interleukin 1 receptor associated kinase 1",0.678702156,6.47e-40,0.638887576,1.12e-21
"JAM3",1254,"junctional adhesion molecule 3",-0.458894401,3.78e-23,-1.5632235,1.92e-40
"SHROOM2",1258,"shroom family member 2",-1.066495982,1.95e-41,-1.508587275,9e-21
"TENT4B",1262,"terminal nucleotidyltransferase 4B",0.911602634,1.24e-68,0.797350988,1.15e-13
"PREX1",1264,"phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 1",-0.703230487,1.26e-15,-2.071503283,3.09e-98
"COL6A2",1265,"collagen type VI alpha 2 chain",0.366790562,2.67e-27,0.63991104,8.85e-32
"LIMD2",1271,"LIM domain containing 2",0.966313559,2.4e-32,1.200558254,2.93e-26
"NCAM1",1272,"neural cell adhesion molecule 1",-2.639898921,2.51e-71,-0.666395926,3.01e-13
"SLC52A2",1280,"solute carrier family 52 member 2",0.825705349,4.83e-30,1.274461357,1.5e-28
"PRKACA",1283,"protein kinase cAMP-activated catalytic subunit alpha",-0.673892981,1.73e-23,-1.391683377,4.06e-38
"NRP1",1287,"neuropilin 1",0.698725997,1.86e-20,1.658096354,2.2e-47
"GPI",1290,"glucose-6-phosphate isomerase",-0.630961748,1.33e-22,-1.316569964,8.19e-40
"ITGA4",1293,"integrin subunit alpha 4",-0.658739217,1.79e-39,-0.80850688,5.45e-21
"SNTA1",1295,"syntrophin alpha 1",-1.027599932,4.47e-46,-1.30209735,5.78e-18
"CHMP5",1297,"charged multivesicular body protein 5",0.712832326,2.79e-25,1.398893157,7.66e-34
"RIC8A",1305,"RIC8 guanine nucleotide exchange factor A",1.174203179,1.45e-210,0.409802203,3.88e-08
"UBAP1",1310,"ubiquitin associated protein 1",0.430012639,3.38e-27,0.944847523,3.6e-30
"ABCF2",1313,"ATP binding cassette subfamily F member 2",0.852920437,1.54e-32,0.854954206,9.25e-25
"DAAM1",1315,"dishevelled associated activator of morphogenesis 1",-0.530665156,6.16e-21,-1.78596589,4.15e-43
"EVA1A",1340,"eva-1 homolog A, regulator of programmed cell death",0.873547679,2.2e-25,3.350741326,1.49e-30
"RHOBTB2",1343,"Rho related BTB domain containing 2",-0.564260006,4.36e-20,-2.49357487,4.43e-43
"MYO1B",1344,"myosin IB",0.890641082,1.15e-83,0.481057385,6.36e-11
"LAMA2",1346,"laminin subunit alpha 2",-2.39692589,6.95e-31,-1.640438269,9.45e-25
"SMURF1",1347,"SMAD specific E3 ubiquitin protein ligase 1",0.989638904,7.05e-51,0.603775861,2.11e-15
"ADIPOR2",1360,"adiponectin receptor 2",-0.453028791,4.42e-34,-0.540617727,9.08e-22
"PAK1",1361,"p21 (RAC1) activated kinase 1",-0.81933334,1.88e-43,-0.662519623,2.79e-17
"LTBR",1362,"lymphotoxin beta receptor",0.357828796,8.99e-18,0.885477703,5.48e-51
"CCNYL1",1370,"cyclin Y like 1",1.006476851,3.31e-62,0.899690947,3.95e-13
"PLCG1",1379,"phospholipase C gamma 1",-0.662683871,1.07e-38,-0.684324554,6.7e-19
"RNF146",1384,"ring finger protein 146",0.916007035,1.91e-36,1.2569107,9.21e-20
"ATP5F1A",1392,"ATP synthase F1 subunit alpha",-0.536109315,1.54e-39,-0.653909663,4.05e-18
"RALA",1399,"RAS like proto-oncogene A",0.32189075,3.86e-11,3.362318523,0
"RELL1",1408,"RELT like 1",-0.792572297,1.25e-16,-1.295601417,7.24e-52
"RRAS2",1424,"RAS related 2",0.333041062,1.87e-15,1.210682758,5.1e-58
"ITM2B",1429,"integral membrane protein 2B",-0.604574272,7.18e-37,-0.931942861,7.84e-19
"STON1",1431,"stonin 1",-3.58719302,1.04e-76,-1.562340386,2.01e-10
"PHLDB1",1432,"pleckstrin homology like domain family B member 1",-0.987541941,5.77e-101,-1.233485348,4.19e-09
"PIK3C2B",1433,"phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 beta",-1.300698262,1.75e-44,-1.971335263,9.68e-16
"TCTN2",1436,"tectonic family member 2",-1.160908415,1.12e-24,-1.967386762,7.01e-28
"ITGB4",1437,"integrin subunit beta 4",-1.589624229,1.35e-33,-2.221885229,3.57e-20
"AMOT",1449,"angiomotin",-1.971721515,1.68e-67,-1.655383209,3.11e-11
"RIPK1",1457,"receptor interacting serine/threonine kinase 1",0.466264355,1.81e-24,1.347134151,2.38e-27
"ORAI1",1462,"ORAI calcium release-activated calcium modulator 1",0.9158872,1.8e-35,1.029211994,1.43e-18
"GRIPAP1",1467,"GRIP1 associated protein 1",0.811778319,1.69e-45,0.739784908,9.78e-15
"PSEN1",1471,"presenilin 1",0.705651683,1.78e-52,0.799212039,2.87e-13
"SMAD3",1477,"SMAD family member 3",-0.661850659,1.56e-77,-0.639605387,7.16e-10
"HYCC1",1489,"hyccin PI4KA lipid kinase complex subunit 1",0.404898778,7.37e-28,0.766229951,1.49e-22
"DNM1",1493,"dynamin 1",-1.745418689,1.7e-99,-2.268364506,1.28e-08
"AXIN1",1503,"axin 1",0.483239053,3.35e-19,0.899176237,1.82e-35
"CACNB1",1505,"calcium voltage-gated channel auxiliary subunit beta 1",0.900681313,6.41e-16,2.157446504,6.01e-47
"RAPH1",1511,"Ras association (RalGDS/AF-6) and pleckstrin homology domains 1",1.039409006,1.7e-11,2.762342124,2.75e-96
"KANK1",1514,"KN motif and ankyrin repeat domains 1",-0.596360952,1.83e-18,-1.730835108,2.73e-36
"YKT6",1516,"YKT6 v-SNARE homolog",0.398692916,9.3e-20,0.714436701,6.15e-33
"UCHL1",1517,"ubiquitin C-terminal hydrolase L1",0.307030269,5.37e-19,1.197992272,9.35e-35
"EZR",1524,"ezrin",0.77679376,3.09e-37,0.722178822,1.86e-16
"AAK1",1528,"AP2 associated kinase 1",0.443886878,2.15e-13,1.569208053,3.71e-62
"SDC3",1530,"syndecan 3",-1.623528367,4.1e-173,-0.311728584,1.22e-06
"RHOA",1531,"ras homolog family member A",-0.746408026,1.8e-55,-0.566061557,1.01e-11
"CTNNB1",1537,"catenin beta 1",-0.502103738,2.82e-36,-0.551945471,8.48e-17
"REPS1",1538,"RALBP1 associated Eps domain containing 1",0.528701971,4.43e-24,0.719015951,9e-25
"SPIRE1",1542,"spire type actin nucleation factor 1",0.410003268,4.63e-15,1.161300755,1.09e-48
"SMAP1",1546,"small ArfGAP 1",-0.72639245,2.39e-22,-1.255122394,1.08e-26
"RAB21",1550,"RAB21, member RAS oncogene family",0.560424433,2.57e-39,0.759483694,1.99e-15
"SVIL",1554,"supervillin",-1.215331865,3.08e-86,-0.849398163,1.28e-08
"AIFM2",1557,"apoptosis inducing factor mitochondria associated 2",0.832539516,2.65e-38,1.650444465,1.74e-15
"CKAP4",1559,"cytoskeleton associated protein 4",0.470712856,1.9e-20,1.074735485,3.44e-29
"RALGDS",1564,"ral guanine nucleotide dissociation stimulator",-1.649642976,4.43e-94,-0.798816493,4.13e-08
"SLC41A2",1583,"solute carrier family 41 member 2",1.298250681,4.08e-29,0.984508911,1.95e-19
"DES",1604,"desmin",3.244624603,3.3e-34,0.734007275,3.97e-16
"FCGRT",1613,"Fc gamma receptor and transporter",-0.947165161,7.09e-18,-1.332749297,5.22e-32
"SEMA6C",1615,"semaphorin 6C",-1.460464576,8.57e-17,-3.199245109,6.01e-35
"PTPN4",1618,"protein tyrosine phosphatase non-receptor type 4",-1.408013816,2.1e-37,-1.492128153,7.46e-15
"PLEKHA2",1621,"pleckstrin homology domain containing A2",-1.245031365,8.25e-66,-0.446778295,1.84e-09
"SHROOM3",1631,"shroom family member 3",-1.376755318,3.52e-65,-0.902502466,2.1e-09
"SULF1",1640,"sulfatase 1",-1.154040078,6.22e-32,-0.662080848,1.93e-16
"MLEC",1647,"malectin",-1.061528447,1.65e-97,-0.312258863,2.77e-07
"SLC43A3",1648,"solute carrier family 43 member 3",1.044105934,1.33e-50,1.050573746,5.29e-11
"AP2A1",1649,"adaptor related protein complex 2 subunit alpha 1",-0.474141796,5.7e-29,-0.586842267,6.95e-18
"STAT3",1657,"signal transducer and activator of transcription 3",0.816441746,2.99e-186,0.206885791,1.45e-05
"F2R",1658,"coagulation factor II thrombin receptor",-2.841683834,3.66e-116,-0.756196902,1.27e-06
"OSBPL1A",1662,"oxysterol binding protein like 1A",-1.191588258,1.43e-32,-1.175978402,6.86e-16
"PRRG1",1665,"proline rich and Gla domain 1",0.718366804,2.76e-22,0.841565903,2.33e-22
"NDRG4",1666,"NDRG family member 4",-2.97539275,3.13e-28,-2.14088342,5.96e-18
"TAB2",1671,"TGF-beta activated kinase 1 (MAP3K7) binding protein 2",0.780584635,2.38e-53,0.41743367,2.7e-10
"RPS27A",1674,"ribosomal protein S27a",-0.656305008,1.38e-43,-0.512453951,3.84e-12
"STK16",1679,"serine/threonine kinase 16",-0.725641497,2.89e-26,-1.331560062,8.02e-19
"SLC26A2",1681,"solute carrier family 26 member 2",-1.168499732,7.44e-50,-1.004553647,9.33e-11
"NLGN2",1690,"neuroligin 2",-0.507416145,6.52e-19,-0.849786548,6.23e-27
"CD81",1697,"CD81 molecule",-0.901254051,2.55e-116,-0.378032764,2.23e-06
"STOML1",1698,"stomatin like 1",3.132981275,3.75e-34,1.835919194,9.98e-15
"SOCS6",1699,"suppressor of cytokine signaling 6",0.705700843,2.32e-14,1.522649664,7.78e-39
"ATP6V0B",1700,"ATPase H+ transporting V0 subunit b",0.73898216,2.56e-33,0.833503505,3.44e-15
"TRAF1",1703,"TNF receptor associated factor 1",2.741552975,2.24e-16,1.620615276,6.13e-32
"RAB27A",1704,"RAB27A, member RAS oncogene family",1.599029023,5.13e-104,0.730542741,1.02e-06
"TJP1",1706,"tight junction protein 1",0.700732291,4.71e-22,1.304887333,6.12e-22
"CAPNS1",1712,"calpain small subunit 1",-1.266000177,3.39e-119,-0.529470288,2.93e-06
"CPNE3",1718,"copine 3",-0.839165226,3.33e-62,-0.720870354,4.67e-09
"SLC43A1",1723,"solute carrier family 43 member 1",2.172429945,8.69e-129,0.658804447,5.88e-06
"ARRB2",1725,"arrestin beta 2",-0.638770411,1.57e-22,-1.341526646,6.26e-21
"ARF5",1745,"ADP ribosylation factor 5",-1.273003769,2.09e-23,-1.721509127,1.78e-19
"CGAS",1750,"cyclic GMP-AMP synthase",1.487734143,6.98e-83,0.503752746,3.76e-07
"SLC31A1",1751,"solute carrier family 31 member 1",1.007967081,8.44e-127,0.303815733,9.44e-06
"SLC16A2",1754,"solute carrier family 16 member 2",-1.0758191,2.8e-08,-2.377926232,2.45e-100
"SAPCD2",1755,"suppressor APC domain containing 2",-0.337422634,7.71e-10,-3.144452322,5.73e-63
"TMEM8B",1759,"transmembrane protein 8B",-1.612350691,3.42e-31,-1.640088654,8.21e-15
"TSPAN4",1760,"tetraspanin 4",0.868807789,4.31e-54,0.716582704,2.58e-09
"ARF3",1762,"ADP ribosylation factor 3",0.499412747,1.48e-37,0.756084291,1.09e-12
"MRGPRF",1767,"MAS related GPR family member F",-2.832070887,3.79e-65,-1.232413018,3.65e-08
"CACNG4",1768,"calcium voltage-gated channel auxiliary subunit gamma 4",-1.671129001,1.34e-17,-2.237033916,4.65e-26
"CLSTN1",1773,"calsyntenin 1",-0.546287136,3.87e-46,-0.445646885,2.54e-10
"KATNB1",1774,"katanin regulatory subunit B1",1.7543201,1.37e-104,0.482459331,4.15e-06
"STK17A",1775,"serine/threonine kinase 17a",0.450182941,8.82e-20,1.099150205,2.05e-22
"BTN3A1",1776,"butyrophilin subfamily 3 member A1",2.736896738,5.3e-24,3.124864393,3.04e-18
"PIP5K1C",1777,"phosphatidylinositol-4-phosphate 5-kinase type 1 gamma",-0.70846159,3.28e-35,-0.571894791,3.38e-13
"HM13",1786,"histocompatibility minor 13",0.306090395,4.14e-20,0.887780424,1.27e-21
"PDXP",1794,"pyridoxal phosphatase",-0.922729488,4.19e-25,-0.962062136,7.15e-17
"PLPPR2",1797,"phospholipid phosphatase related 2",-1.775559429,2.3e-76,-1.592872257,4.58e-07
"PTPRE",1799,"protein tyrosine phosphatase receptor type E",1.901809755,1.82e-28,0.843896621,2.6e-15
"MBLAC2",1800,"metallo-beta-lactamase domain containing 2",0.829528147,4.37e-21,1.322660529,3.96e-20
"CD99",1808,"CD99 molecule (Xg blood group)",-0.842878996,4.02e-34,-0.758461196,4.93e-13
"GAS1",1809,"growth arrest specific 1",-1.227500895,8.71e-13,-0.95260901,4.55e-37
"MARVELD1",1830,"MARVEL domain containing 1",-1.246998911,3.67e-105,-0.449825727,1.04e-05
"GPNMB",1838,"glycoprotein nmb",-1.97403524,0,-0.96094298,0.000308998
"NPC1",1839,"NPC intracellular cholesterol transporter 1",1.183105607,6.47e-12,1.943557908,1.67e-38
"TRPC4AP",1842,"transient receptor potential cation channel subfamily C member 4 associated protein",0.273788837,1.39e-11,0.820973321,2.93e-39
"PLEKHA4",1852,"pleckstrin homology domain containing A4",3.365764588,2.2e-40,1.2920795,1.34e-10
"FYN",1853,"FYN proto-oncogene, Src family tyrosine kinase",0.376573201,2.15e-26,0.542248326,2.62e-15
"AAMP",1855,"angio associated migratory cell protein",0.552148585,6.8e-42,0.533603245,2.76e-10
"PDGFRB",1861,"platelet derived growth factor receptor beta",-1.613387508,3.59e-174,-0.579819439,0.000139254
"PPP5C",1865,"protein phosphatase 5 catalytic subunit",-0.506762662,5.05e-32,-0.737591285,6.96e-13
"NECTIN1",1867,"nectin cell adhesion molecule 1",-0.474854973,3.16e-11,-1.16671667,1.14e-39
"SH3KBP1",1871,"SH3 domain containing kinase binding protein 1",0.38289283,6.82e-09,1.255494761,1.24e-56
"SKAP2",1882,"src kinase associated phosphoprotein 2",-1.620338854,2.02e-119,-0.586159856,4.34e-05
"PTPRU",1884,"protein tyrosine phosphatase receptor type U",-0.59223573,3.79e-06,-1.772951506,1.91e-144
"KRT10",1893,"keratin 10",0.897639047,3.75e-47,0.723176818,4.89e-09
"SEPTIN7",1895,"septin 7",-1.188108387,6.39e-59,-0.404535117,1.17e-07
"UBR4",1897,"ubiquitin protein ligase E3 component n-recognin 4",0.877678158,9.79e-24,1.19313713,5.02e-16
"ILK",1899,"integrin linked kinase",-0.666519906,1.21e-36,-0.608898126,3.88e-11
"FZD2",1904,"frizzled class receptor 2",-0.737398239,1.77e-46,-0.658919923,4.8e-09
"SLC38A2",1911,"solute carrier family 38 member 2",1.121836096,3.41e-30,2.295746601,3.6e-13
"PLAUR",1916,"plasminogen activator, urokinase receptor",0.694031845,4.68e-06,1.982908395,4.02e-130
"DNAJB4",1923,"DnaJ heat shock protein family (Hsp40) member B4",-0.702351558,7.84e-13,-1.507486255,9.45e-31
"TMEM170B",1924,"transmembrane protein 170B",-1.193922051,1.95e-26,-1.250119257,2.91e-14
"PPP2CA",1930,"protein phosphatase 2 catalytic subunit alpha",0.451330994,1.82e-47,0.457240311,1.1e-08
"APBA3",1931,"amyloid beta precursor protein binding family A member 3",0.989565078,1.47e-24,0.876980527,4.2e-15
"PTPRF",1932,"protein tyrosine phosphatase receptor type F",-0.4953938,1.29e-24,-0.722131308,5.81e-15
"FLOT1",1934,"flotillin 1",0.889228301,1.83e-40,0.723944911,8.18e-10
"HEG1",1937,"heart development protein with EGF like domains 1",0.171342051,3.36e-09,1.388676096,6.5e-48
"PPP1R12A",1943,"protein phosphatase 1 regulatory subunit 12A",0.508980155,4.44e-27,0.603911441,9.91e-14
"PHKB",1944,"phosphorylase kinase regulatory subunit beta",-0.969326749,1.66e-47,-0.70327827,1.49e-08
"TRIP6",1955,"thyroid hormone receptor interactor 6",0.784623337,1.1e-80,0.347575788,1e-05
"ITPR1",1957,"inositol 1,4,5-trisphosphate receptor type 1",2.032046952,2.07e-16,1.873431722,6.51e-22
"JMJD6",1965,"jumonji domain containing 6, arginine demethylase and lysine hydroxylase",-0.533498165,3.92e-19,-0.890699085,1.27e-18
"EHD4",1970,"EH domain containing 4",0.564061321,4.53e-50,0.52671707,6.16e-08
"SH3BGRL",1976,"SH3 domain binding glutamate rich protein like",-1.348352195,6.7e-37,-0.743903528,4.57e-10
"FERMT1",1978,"FERM domain containing kindlin 1",1.592875012,1.42e-14,0.9133391,2.85e-24
"NDC1",1990,"NDC1 transmembrane nucleoporin",-0.486965276,1.23e-15,-0.682937387,8.4e-22
"HRH1",1998,"histamine receptor H1",0.464689273,2.02e-07,2.254670886,7e-55
"UBAC1",1999,"UBA domain containing 1",-0.531814568,7.28e-11,-1.192614648,1.72e-32
"ATP5PO",2005,"ATP synthase peripheral stalk subunit OSCP",-0.71468196,1.48e-35,-0.612399803,5.32e-10
"MYD88",2018,"MYD88 innate immune signal transduction adaptor",0.508847863,3.48e-16,1.363849707,1.98e-20
"UNC13A",2026,"unc-13 homolog A",0.937615728,0.000169508,5.154268691,2.36e-258
"GNAZ",2027,"G protein subunit alpha z",-0.787397167,1.8e-05,-2.020015073,5.96e-97
"FZD1",2030,"frizzled class receptor 1",-1.618505862,2.34e-44,-0.468485352,4.03e-08
"UBB",2034,"ubiquitin B",-0.547207378,1.28e-48,-0.528135355,1.65e-07
"HDAC3",2036,"histone deacetylase 3",-0.471349863,3.06e-19,-0.856306698,8.15e-17
"PRSS12",2040,"serine protease 12",-1.185150492,5.07e-86,-0.462790412,4.99e-05
"BRI3",2049,"brain protein I3",0.452437647,7.07e-23,0.753901646,5.5e-14
"REPS2",2051,"RALBP1 associated Eps domain containing 2",-1.688882761,1.95e-11,-2.123593787,6.93e-29
"CD83",2056,"CD83 molecule",1.032950098,2.74e-09,2.077250461,2.13e-37
"CSNK1G3",2059,"casein kinase 1 gamma 3",0.411989096,5.51e-15,0.7005514,1.54e-21
"XRCC5",2063,"X-ray repair cross complementing 5",-0.551917327,4e-34,-0.479014337,8.16e-10
"STX3",2064,"syntaxin 3",0.86511586,3.12e-27,0.649657844,7.22e-12
"FADD",2067,"Fas associated via death domain",0.518578269,2.28e-36,0.56374568,2.33e-09
"RECK",2068,"reversion inducing cysteine rich protein with kazal motifs",-1.020153217,1.22e-26,-1.228717095,4.87e-12
"ENTPD6",2070,"ectonucleoside triphosphate diphosphohydrolase 6",0.597985354,4.65e-23,0.610501789,1.15e-13
"DENND1A",2074,"DENN domain containing 1A",0.75386137,1.52e-37,0.468674897,4.8e-09
"AR",2087,"androgen receptor",-0.66027734,1.01e-12,-0.902133358,1.33e-24
"CBLB",2091,"Cbl proto-oncogene B",0.792663869,2.28e-10,1.609718869,4.36e-30
"PROS1",2103,"protein S",-0.910219112,4.48e-38,-1.361512359,1.1e-08
"NLN",2118,"neurolysin",0.45649677,2.41e-13,1.01339685,2.6e-22
"IFNGR1",2119,"interferon gamma receptor 1",0.647941871,2.22e-19,1.09380455,2.13e-15
"ATRN",2128,"attractin",-0.823653868,1.53e-26,-0.9915052,3.16e-11
"IGDCC4",2130,"immunoglobulin superfamily DCC subclass member 4",1.665120156,2.36e-101,0.743733765,0.000304018
"MYOF",2136,"myoferlin",0.129860314,7.86e-07,0.905183958,1.5e-47
"RAB11FIP2",2145,"RAB11 family interacting protein 2",0.574097098,2.2e-23,0.83613059,1.93e-12
"PICALM",2146,"phosphatidylinositol binding clathrin assembly protein",0.137393541,0.0001208,1.543008738,1.83e-93
"ATAD1",2155,"ATPase family AAA domain containing 1",0.356107042,1.8e-08,1.221277875,3.93e-36
"CD9",2159,"CD9 molecule",-2.28940702,1.4e-19,-1.032562784,1.12e-14
"BCL3",2164,"BCL3 transcription coactivator",1.870526581,1.03e-23,1.018618772,4.21e-12
"RAB40C",2166,"RAB40C, member RAS oncogene family",-0.808074051,1.76e-33,-0.753747383,4.16e-09
"KMT2E",2177,"lysine methyltransferase 2E (inactive)",-0.306225076,2.67e-09,-1.075087387,4.87e-31
"TMEM98",2208,"transmembrane protein 98",-1.7032559,2.26e-54,-0.580808543,7.26e-06
"NOD1",2210,"nucleotide binding oligomerization domain containing 1",1.192417267,1.4e-38,0.742782264,7.74e-08
"ENO2",2212,"enolase 2",-0.49195178,6.51e-15,-1.131318908,1.92e-18
"SRPK1",2213,"SRSF protein kinase 1",0.301940876,2.99e-21,0.596576503,4.02e-13
"CD55",2218,"CD55 molecule (Cromer blood group)",0.340834132,3.1e-05,2.131809972,3.61e-62
"SLC26A11",2223,"solute carrier family 26 member 11",0.855593608,2.28e-15,1.533353004,8.95e-18
"EXTL3",2225,"exostosin like glycosyltransferase 3",-0.543736631,1.69e-16,-0.733035206,2.5e-16
"MAGED1",2231,"MAGE family member D1",-1.734464467,1e-27,-1.195856097,4.65e-10
"DKK1",2234,"dickkopf WNT signaling pathway inhibitor 1",0.823128711,1.28e-07,3.539298246,1.11e-36
"CCN2",2235,"cellular communication network factor 2",0.278678306,0.001351702,4.269720493,2.66e-167
"FANCG",2241,"FA complementation group G",-0.653864918,1.93e-13,-2.093965025,7.56e-20
"TRABD2A",2251,"TraB domain containing 2A",0.630528056,2.34e-16,1.138345573,4.49e-16
"FARP1",2256,"FERM, ARH/RhoGEF and pleckstrin domain protein 1",-1.229336545,1.46e-138,-0.252798721,0.00237682
"KARS1",2257,"lysyl-tRNA synthetase 1",0.392953195,1.29e-39,0.46928465,2.45e-07
"AKT2",2265,"AKT serine/threonine kinase 2",-0.428209602,3.3e-22,-0.398868411,7.62e-12
"MILR1",2266,"mast cell immunoglobulin like receptor 1",1.635192015,4.39e-06,2.485721635,2.82e-45
"SEPTIN6",2271,"septin 6",-0.728037634,3.03e-31,-0.751521981,7.48e-09
"CACNB3",2275,"calcium voltage-gated channel auxiliary subunit beta 3",-0.955526356,4.74e-21,-1.472195357,2.15e-12
"CTSB",2289,"cathepsin B",0.375028675,1.82e-13,0.765768324,1.02e-18
"EFNA2",2290,"ephrin A2",-2.801470754,1.84e-21,-2.137608891,5.95e-12
"SCN8A",2297,"sodium voltage-gated channel alpha subunit 8",1.913137119,8.19e-61,2.240090245,5.29e-05
"HBEGF",2298,"heparin binding EGF like growth factor",0.565568557,9.71e-08,2.376133912,1.71e-32
"MR1",2306,"major histocompatibility complex, class I-related",1.02464514,1.48e-12,1.796459781,1.35e-19
"RCCD1",2307,"RCC1 domain containing 1",-0.488334255,9.02e-15,-1.335565186,8.7e-17
"ITGA5",2309,"integrin subunit alpha 5",0.896274983,1.37e-82,0.308596044,0.000436541
"GPR153",2310,"G protein-coupled receptor 153",-1.302243031,0.000314474,-1.388599309,1.41e-74
"ACTN2",2311,"actinin alpha 2",4.022977877,1.01e-35,1.52698746,1.28e-07
"VIM",2317,"vimentin",-1.034381621,7.24e-211,-0.295620012,0.008969516
"NEO1",2321,"neogenin 1",-0.960412403,4.59e-83,-0.392244661,0.000508988
"KCTD3",2323,"potassium channel tetramerization domain containing 3",-0.384054121,1.15e-18,-0.584369972,2.27e-13
"LIMD1",2326,"LIM domain containing 1",-0.572626218,9.5e-26,-0.908853256,8.89e-10
"SDCBP",2328,"syndecan binding protein",0.309352926,2.86e-13,0.725011504,1.91e-18
"PNPLA2",2329,"patatin like phospholipase domain containing 2",-0.808119635,7.74e-40,-0.49197723,8.2e-07
"FNTA",2330,"farnesyltransferase, CAAX box, alpha",0.573007757,1.23e-19,0.537928807,1.04e-12
"HAX1",2333,"HCLS1 associated protein X-1",1.406144336,1.29e-68,1.732333498,0.000185109
"CNST",2335,"consortin, connexin sorting protein",0.43775458,9.06e-11,0.975659661,5.93e-22
"PAK2",2338,"p21 (RAC1) activated kinase 2",0.230867314,5.17e-10,0.73096916,1.78e-23
"ACTL6A",2349,"actin like 6A",-0.481052512,2.3e-27,-0.476845448,3.63e-09
"YBX1",2354,"Y-box binding protein 1",-0.574619443,1.97e-25,-0.522904571,1.43e-09
